category,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,total_absolute_error,total_correctly_identified_names,total_ground_truth_names,accuracy,feature_name_matching_rate,hallucination_rate,mae,Model,Experiment
easy,85,115,11,111,56,53,67,73.91304347826086,79.1044776119403,9.90990990990991,0.835820895522388,GPT-4o,Exp_1_Basic_Prompts
hard,199,448,48,253,303,73,121,44.419642857142854,60.33057851239669,18.972332015810274,2.5041322314049586,GPT-4o,Exp_1_Basic_Prompts
medium,142,241,17,162,119,65,104,58.921161825726145,62.5,10.493827160493826,1.1442307692307692,GPT-4o,Exp_1_Basic_Prompts
overall,426,804,76,526,478,191,292,52.98507462686567,65.41095890410958,14.44866920152091,4.78,GPT-4o,Exp_1_Basic_Prompts
easy,82,115,13,110,61,50,67,71.30434782608695,74.6268656716418,11.818181818181818,0.9104477611940298,GPT-4o,Exp_2_Improved_Prompts
hard,221,448,27,256,262,79,121,49.330357142857146,65.28925619834712,10.546875,2.165289256198347,GPT-4o,Exp_2_Improved_Prompts
medium,141,241,13,157,116,65,104,58.50622406639005,62.5,8.280254777070063,1.1153846153846154,GPT-4o,Exp_2_Improved_Prompts
overall,444,804,53,523,439,194,292,55.223880597014926,66.43835616438356,10.133843212237094,4.39,GPT-4o,Exp_2_Improved_Prompts
easy,86,115,11,111,54,52,67,74.78260869565217,77.61194029850746,9.90990990990991,0.8059701492537313,GPT-4o,Exp_3_Multi_View
hard,238,448,27,280,252,80,121,53.125,66.11570247933885,9.642857142857144,2.0826446280991737,GPT-4o,Exp_3_Multi_View
medium,163,241,17,190,105,71,104,67.63485477178423,68.26923076923077,8.947368421052632,1.0096153846153846,GPT-4o,Exp_3_Multi_View
overall,487,804,55,581,411,203,292,60.57213930348259,69.52054794520548,9.46643717728055,4.11,GPT-4o,Exp_3_Multi_View
easy,88,115,10,111,50,55,67,76.52173913043478,82.08955223880598,9.00900900900901,0.746268656716418,GPT-4o,Exp_4a_Multi_View_Few_Shot
